,precision,recall,f1-score,support
0.0,0.6,0.75,0.6666666666666665,4.0
1.0,0.0,0.0,0.0,2.0
2.0,0.75,0.75,0.75,4.0
3.0,0.5,0.3333333333333333,0.4,3.0
4.0,0.3333333333333333,0.5,0.4,2.0
5.0,0.3333333333333333,0.5,0.4,2.0
6.0,0.6666666666666666,0.5,0.5714285714285715,4.0
7.0,1.0,0.3333333333333333,0.5,3.0
8.0,0.5,0.3333333333333333,0.4,3.0
9.0,0.75,0.75,0.75,4.0
10.0,0.0,0.0,0.0,3.0
11.0,1.0,0.75,0.8571428571428571,4.0
12.0,0.0,0.0,0.0,3.0
13.0,0.5,0.75,0.6,4.0
14.0,0.75,1.0,0.8571428571428571,3.0
15.0,0.4,0.6666666666666666,0.5,3.0
16.0,1.0,0.3333333333333333,0.5,3.0
17.0,1.0,0.5,0.6666666666666666,4.0
18.0,1.0,1.0,1.0,3.0
19.0,0.3333333333333333,0.5,0.4,2.0
20.0,0.5,1.0,0.6666666666666666,3.0
21.0,0.5,0.6666666666666666,0.5714285714285715,3.0
22.0,0.0,0.0,0.0,3.0
23.0,0.3333333333333333,0.5,0.4,2.0
24.0,0.5,0.6666666666666666,0.5714285714285715,3.0
25.0,0.0,0.0,0.0,3.0
accuracy,0.525,0.525,0.525,0.525
macro avg,0.5096153846153846,0.5032051282051282,0.47802197802197804,80.0
weighted avg,0.5460416666666668,0.525,0.5068452380952381,80.0
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,12
8,13
9,20
10,6
11,9
12,11
13,14
14,4
15,5
16,6
17,3
18,2
19,12
20,4
21,0
22,9
23,17
24,9
25,4
26,22
27,20
28,23
29,22
30,25
31,23
32,19
33,15
34,20
35,24
36,18
37,19
38,15
39,8
40,16
41,20
42,13
43,15
44,13
45,13
46,12
47,14
48,24
49,0
50,7
51,3
52,21
53,20
54,15
55,14
56,23
57,9
58,5
59,14
60,13
61,2
62,11
63,10
64,0
65,0
66,6
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,21
75,18
76,15
77,5
78,2
79,19
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
